ID,Lat,Lon
PAIS-A0114,-34.650406,-58.440309
PAIS-A0120,-34.650406,-58.440309
PAIS-A0121,-34.650406,-58.440309
PAIS-A0124,-34.650406,-58.440309
PAIS-A0127,-34.650406,-58.440309
PAIS-A0130,-34.615135,-58.447263
PAIS-A0131,-34.650406,-58.440309
PAIS-A0137,-34.650406,-58.440309
PAIS-A0139,-34.627995,-58.483894
PAIS-A0142,-34.650406,-58.440309
PAIS-A0143,-34.650406,-58.440309
PAIS-A0144,-34.650406,-58.440309
PAIS-A0146,-34.650406,-58.440309
PAIS-A0147,-34.650406,-58.440309
PAIS-A0148,-34.650406,-58.440309
PAIS-A0157,-34.612346,-58.3799
PAIS-A0162,-34.650406,-58.440309
PAIS-A0166,-34.650406,-58.440309
PAIS-A0167,-34.650406,-58.440309
PAIS-A0174,-34.650406,-58.440309
PAIS-A0175,-34.650406,-58.440309
PAIS-A0176,-34.650406,-58.440309
PAIS-A0177,-34.650406,-58.440309
PAIS-A0182,-34.650406,-58.440309
PAIS-A0190,-34.650406,-58.440309
PAIS-A0191,-34.650406,-58.440309
PAIS-A0194,-34.643674,-58.379934
PAIS-A0236,-34.797086,-58.276311
PAIS-A0237,-34.725772,-58.256141
PAIS-A0255,-34.800948,-58.452394
PAIS-A0256,-34.804545,-58.556504
PAIS-A0262,-34.831501,-58.495901
PAIS-A0284,-34.971072,-57.988797
PAIS-A0305,-34.702511,-58.306129
PAIS-A0306,-34.702511,-58.306129
PAIS-A0307,-34.70938,-58.280733
PAIS-A0309,-34.899418,-57.982498
PAIS-A0310,-34.762488,-58.423791
PAIS-A0313,-34.778847,-58.311122
PAIS-A0314,-34.70617,-58.445979
PAIS-A0315,-34.702511,-58.306129
PAIS-A0323,-34.725772,-58.256141
PAIS-A0325,-34.74406,-58.298032
PAIS-B0001,-34.578944,-58.42608
PAIS-G0007,-31.415242,-64.197766
PAIS-G0009,-30.866884,-62.0348
PAIS-G0013,-31.415242,-64.197766
PAIS-G0020,-31.946826,-65.190915
PAIS-G0021,-31.946826,-65.190915
PAIS-G0022,-31.946826,-65.190915
PAIS-A0006,-34.725772,-58.256141
PAIS-A0019,-34.608174,-58.447377
PAIS-A0025,-34.584288,-58.378041
PAIS-A0028,-34.584288,-58.378041
PAIS-A0029,-34.584288,-58.378041
PAIS-A0030,-34.584288,-58.378041
PAIS-A0032,-34.584288,-58.378041
PAIS-A0034,-34.584288,-58.378041
PAIS-A0035,-34.584288,-58.378041
PAIS-A0037,-34.584288,-58.378041
PAIS-A0038,-33.24,-64.78
PAIS-A0039,-34.584288,-58.378041
PAIS-A0040,-34.584288,-58.378041
PAIS-A0041,-34.584288,-58.378041
PAIS-A0042,-34.584288,-58.378041
PAIS-A0043,-34.584288,-58.378041
PAIS-A0044,-34.584288,-58.378041
PAIS-A0045,-34.588925,-58.398231
PAIS-A0046,-34.584288,-58.378041
PAIS-A0047,-34.584288,-58.378041
PAIS-A0048,-34.584288,-58.378041
PAIS-A0049,-34.584288,-58.378041
PAIS-A0050,-34.584288,-58.378041
PAIS-A0051,-34.584288,-58.378041
PAIS-A0052,-34.584288,-58.378041
PAIS-A0053,-34.578944,-58.42608
PAIS-A0054,-34.584288,-58.378041
PAIS-A0055,-34.584288,-58.378041
PAIS-A0056,-34.584288,-58.378041
PAIS-A0057,-34.584288,-58.378041
PAIS-A0059,-34.584288,-58.378041
PAIS-A0061,-34.584288,-58.378041
PAIS-A0062,-34.584288,-58.378041
PAIS-A0063,-34.584288,-58.378041
PAIS-A0064,-34.584288,-58.378041
PAIS-A0065,-34.584288,-58.378041
PAIS-A0066,-34.584288,-58.378041
PAIS-A0067,-34.584288,-58.378041
PAIS-A0068,-34.584288,-58.378041
PAIS-A0069,-34.584288,-58.378041
PAIS-A0070,-34.584288,-58.378041
PAIS-A0071,-34.584288,-58.378041
PAIS-A0072,-34.584288,-58.378041
PAIS-A0073,-34.584288,-58.378041
PAIS-A0075,-34.584288,-58.378041
PAIS-A0076,-34.584288,-58.378041
PAIS-A0077,-34.584288,-58.378041
PAIS-A0078,-34.584288,-58.378041
PAIS-A0079,-34.584288,-58.378041
PAIS-A0080,-34.584288,-58.378041
PAIS-A0081,-34.584288,-58.378041
PAIS-A0082,-34.584288,-58.378041
PAIS-A0083,-34.584288,-58.378041
PAIS-A0084,-34.584288,-58.378041
PAIS-A0085,-34.604748,-58.490216
PAIS-A0086,-34.584288,-58.378041
PAIS-A0087,-34.627995,-58.483894
PAIS-A0088,-34.584288,-58.378041
PAIS-A0091,-34.584288,-58.378041
PAIS-A0092,-34.584288,-58.378041
PAIS-A0093,-34.584288,-58.378041
PAIS-A0094,-34.584288,-58.378041
PAIS-A0095,-34.609075,-58.402687
PAIS-A0096,-34.626282,-58.384407
PAIS-A0097,-34.584288,-58.378041
PAIS-A0098,-34.584288,-58.378041
PAIS-A0099,-34.584288,-58.378041
PAIS-A0100,-34.584288,-58.378041
PAIS-A0101,-34.584288,-58.378041
PAIS-A0102,-34.584288,-58.378041
PAIS-A0103,-34.584288,-58.378041
PAIS-A0105,-34.584288,-58.378041
PAIS-A0106,-34.584288,-58.378041
PAIS-A0107,-34.584288,-58.378041
PAIS-A0108,-34.584288,-58.378041
PAIS-A0109,-34.584288,-58.378041
PAIS-A0110,-34.584288,-58.378041
PAIS-A0111,-34.584288,-58.378041
PAIS-A0112,-34.584288,-58.378041
PAIS-A0113,-34.588925,-58.398231
PAIS-A0115,-34.584288,-58.378041
PAIS-A0116,-34.584288,-58.378041
