ID,Lat,Lon
417482,-1.831239,-78.183406
422563,-1.831239,-78.183406
445270,-35.675147,-71.542969
445298,-35.675147,-71.542969
445277,-35.675147,-71.542969
445300,-35.675147,-71.542969
447748,4.570868,-74.297333
445302,-35.675147,-71.542969
447803,4.570868,-74.297333
447804,4.570868,-74.297333
445353,-35.675147,-71.542969
447794,4.570868,-74.297333
447796,4.570868,-74.297333
447779,4.570868,-74.297333
447798,4.570868,-74.297333
447802,4.570868,-74.297333
445361,-35.675147,-71.542969
430808,-38.416097,-63.616672
430809,-38.416097,-63.616672
457957,-32.522779,-55.765835
457963,-32.522779,-55.765835
430811,-38.416097,-63.616672
430812,-38.416097,-63.616672
445350,-35.675147,-71.542969
445374,-35.675147,-71.542969
445375,-35.675147,-71.542969
445359,-35.675147,-71.542969
456154,4.570868,-74.297333
414580,-35.675147,-71.542969
430802,-38.416097,-63.616672
445317,-35.675147,-71.542969
445377,-35.675147,-71.542969
456149,4.570868,-74.297333
427300,-14.235004,-51.92528
427301,-14.235004,-51.92528
430805,-38.416097,-63.616672
430797,-38.416097,-63.616672
414014,-14.235004,-51.92528
414017,-14.235004,-51.92528
416028,-14.235004,-51.92528
416034,-14.235004,-51.92528
445255,-35.675147,-71.542969
445264,-35.675147,-71.542969
415105,-14.235004,-51.92528
427293,-14.235004,-51.92528
430818,-38.416097,-63.616672
445251,-35.675147,-71.542969
416029,-14.235004,-51.92528
416035,-14.235004,-51.92528
415787,-9.189967,-75.015152
418262,4.570868,-74.297333
447789,4.570868,-74.297333
445256,-35.675147,-71.542969
445321,-35.675147,-71.542969
445271,-35.675147,-71.542969
445276,-35.675147,-71.542969
445331,-35.675147,-71.542969
445281,-35.675147,-71.542969
445319,-35.675147,-71.542969
445275,-35.675147,-71.542969
445315,-35.675147,-71.542969
445378,-35.675147,-71.542969
430807,-38.416097,-63.616672
420600,-38.416097,-63.616672
427292,-14.235004,-51.92528
416036,-14.235004,-51.92528
456088,-14.235004,-51.92528
458146,-14.235004,-51.92528
458140,-14.235004,-51.92528
458141,-14.235004,-51.92528
458147,-14.235004,-51.92528
426580,-14.235004,-51.92528
429671,-14.235004,-51.92528
429684,-14.235004,-51.92528
429676,-14.235004,-51.92528
429679,-14.235004,-51.92528
429689,-14.235004,-51.92528
429688,-14.235004,-51.92528
427294,-14.235004,-51.92528
427302,-14.235004,-51.92528
456075,-14.235004,-51.92528
456076,-14.235004,-51.92528
445362,-35.675147,-71.542969
456106,-14.235004,-51.92528
456077,-14.235004,-51.92528
456071,-14.235004,-51.92528
456094,-14.235004,-51.92528
456083,-14.235004,-51.92528
456080,-14.235004,-51.92528
456101,-14.235004,-51.92528
458145,-14.235004,-51.92528
427295,-14.235004,-51.92528
456073,-14.235004,-51.92528
456079,-14.235004,-51.92528
456091,-14.235004,-51.92528
445352,-35.675147,-71.542969
456102,-14.235004,-51.92528
456093,-14.235004,-51.92528
445367,-35.675147,-71.542969
456089,-14.235004,-51.92528
456099,-14.235004,-51.92528
456098,-14.235004,-51.92528
456084,-14.235004,-51.92528
456086,-14.235004,-51.92528
456097,-14.235004,-51.92528
427296,-14.235004,-51.92528
456082,-14.235004,-51.92528
445349,-35.675147,-71.542969
456100,-14.235004,-51.92528
430814,-38.416097,-63.616672
430815,-38.416097,-63.616672
430817,-38.416097,-63.616672
456092,-14.235004,-51.92528
430793,-38.416097,-63.616672
445373,-35.675147,-71.542969
456087,-14.235004,-51.92528
427297,-14.235004,-51.92528
427298,-14.235004,-51.92528
427303,-14.235004,-51.92528
456074,-14.235004,-51.92528
427304,-14.235004,-51.92528
456090,-14.235004,-51.92528
456085,-14.235004,-51.92528
456081,-14.235004,-51.92528
456104,-14.235004,-51.92528
456095,-14.235004,-51.92528
456103,-14.235004,-51.92528
456105,-14.235004,-51.92528
456072,-14.235004,-51.92528
456096,-14.235004,-51.92528
445369,-35.675147,-71.542969
445370,-35.675147,-71.542969
457953,-32.522779,-55.765835
450873,-14.235004,-51.92528
458144,-14.235004,-51.92528
458143,-14.235004,-51.92528
458138,-14.235004,-51.92528
458149,-14.235004,-51.92528
458139,-14.235004,-51.92528
458142,-14.235004,-51.92528
450874,-14.235004,-51.92528
458148,-14.235004,-51.92528
412964,-14.235004,-51.92528
414016,-14.235004,-51.92528
414045,-14.235004,-51.92528
447760,4.570868,-74.297333
457972,-32.522779,-55.765835
459862,-35.675147,-71.542969
416031,-14.235004,-51.92528
430800,-38.416097,-63.616672
430806,-38.416097,-63.616672
445312,-35.675147,-71.542969
445320,-35.675147,-71.542969
445332,-35.675147,-71.542969
445323,-35.675147,-71.542969
445333,-35.675147,-71.542969
445324,-35.675147,-71.542969
445265,-35.675147,-71.542969
445366,-35.675147,-71.542969
445248,-35.675147,-71.542969
445326,-35.675147,-71.542969
445355,-35.675147,-71.542969
445309,-35.675147,-71.542969
445250,-35.675147,-71.542969
430801,-38.416097,-63.616672
445308,-35.675147,-71.542969
445261,-35.675147,-71.542969
445252,-35.675147,-71.542969
447755,4.570868,-74.297333
456138,4.570868,-74.297333
414015,-14.235004,-51.92528
420598,-38.416097,-63.616672
429702,-14.235004,-51.92528
445272,-35.675147,-71.542969
445311,-35.675147,-71.542969
445282,-35.675147,-71.542969
429669,-14.235004,-51.92528
430810,-38.416097,-63.616672
430816,-38.416097,-63.616672
430798,-38.416097,-63.616672
447809,4.570868,-74.297333
447810,4.570868,-74.297333
445294,-35.675147,-71.542969
447774,4.570868,-74.297333
447768,4.570868,-74.297333
447775,4.570868,-74.297333
447791,4.570868,-74.297333
447771,4.570868,-74.297333
447766,4.570868,-74.297333
447736,4.570868,-74.297333
447790,4.570868,-74.297333
447735,4.570868,-74.297333
447793,4.570868,-74.297333
459861,-35.675147,-71.542969
447785,4.570868,-74.297333
447750,4.570868,-74.297333
447795,4.570868,-74.297333
445372,-35.675147,-71.542969
456151,4.570868,-74.297333
456147,4.570868,-74.297333
445292,-35.675147,-71.542969
445299,-35.675147,-71.542969
447786,4.570868,-74.297333
445286,-35.675147,-71.542969
445337,-35.675147,-71.542969
445283,-35.675147,-71.542969
445290,-35.675147,-71.542969
430803,-38.416097,-63.616672
